"genes","logFC","logCPM","LR","PValue","FDR","Gene_Symbol"
"ENSG00000106868",-0.512759954593197,4.02706043306625,24.158092947686,8.8742455196466e-07,8.06118964492405e-05,"SUSD1"
"ENSG00000146909",-0.490401852843354,5.76336021807261,24.0277241719936,9.49584992201208e-07,8.56552224783453e-05,"NOM1"
"ENSG00000139636",0.644059958399499,4.34426841438945,24.0076123659074,9.59555730346229e-07,8.59535372620556e-05,"LMBR1L"
"ENSG00000138587",-0.663812733962018,1.96042611377516,23.9512425837746,9.88065003836533e-07,8.78968998930168e-05,"MNS1"
"ENSG00000116918",-0.328952416150489,5.41918834795469,23.905293769589,1.0119311185805e-06,8.94034212230813e-05,"TSNAX"
"ENSG00000077232",-0.406806989201864,6.93838370257345,23.8847762483767,1.02277393913842e-06,8.97466737479353e-05,"DNAJC10"
"ENSG00000155755",-0.424211510510166,4.37934029521815,23.8218161681783,1.05677897280032e-06,9.21039997983194e-05,"TMEM237"
"ENSG00000134318",-0.41396105462749,6.14806583817511,23.7660322868209,1.08785432755848e-06,9.41760602092403e-05,"ROCK2"
"ENSG00000171928",-0.462308269354818,5.57003460605101,23.6043698406282,1.18318517438927e-06,0.000101746037096314,"TVP23B"
"ENSG00000108064",-0.366275573125447,6.74117250088489,23.4718560211939,1.26754501534441e-06,0.000108278563926673,"TFAM"
"ENSG00000088305",-0.488803489864973,4.20460782682982,23.4529463511913,1.28006529034852e-06,0.000108628698553984,"DNMT3B"
"ENSG00000138071",-0.308944245943669,8.5954932843838,23.4291154791688,1.29602074781255e-06,0.000109263866836824,"ACTR2"
"ENSG00000125772",-0.547151198358809,3.4162027804935,23.3449508145698,1.35398463960515e-06,0.000113409401729005,"GPCPD1"
"ENSG00000170425",-0.656705499149944,3.88622430307318,23.2723517302223,1.40606804160247e-06,0.000117012075281485,"ADORA2B"
"ENSG00000175970",-0.335937477467324,6.14107320904805,23.1864016638472,1.47033369502377e-06,0.00012157586110328,"UNC119B"
"ENSG00000133740",0.459258434468891,4.54378335433754,23.0877139931144,1.54776538556159e-06,0.00012716322107235,"E2F5"
"ENSG00000100221",-0.348481703677808,5.97831719274925,22.9006358909738,1.70595408067251e-06,0.000137746237559839,"JOSD1"
"ENSG00000178904",-0.384966963426846,5.0129782083655,22.9003983135598,1.70616494759869e-06,0.000137746237559839,"DPY19L3"
